studentId,class
1,4E
2,11D
3,1O
4,10K
5,5K
6,3N
7,5I
8,11A
9,3S
10,12E
11,8F
12,10T
13,12E
14,7Q
15,12Q
16,5Q
17,11R
18,1S
19,11D
20,10X
21,3M
22,1R
23,12M
24,10A
25,7G
26,2S
27,7N
28,12Q
29,4W
30,1U
31,4H
32,12A
33,7E
34,2D
35,5O
36,2V
37,1W
38,6C
39,6Z
40,9Q
41,7L
42,2D
43,11W
44,3A
45,10C
46,3N
47,6E
48,1J
49,1S
50,2T
51,11O
52,4D
53,5H
54,5U
55,6O
56,6Z
57,7R
58,3W
59,6V
60,4O
61,10Y
62,6J
63,11J
64,6S
65,6P
66,4N
67,7D
68,9I
69,2I
70,6M
71,7T
72,1D
73,1X
74,7Q
75,1T
76,2K
77,6L
78,8N
79,12U
80,10H
81,9G
82,6Z
83,5X
84,3C
85,5O
86,7F
87,4H
88,12Z
89,10A
90,4J
91,4O
92,10C
93,5M
94,10J
95,6X
96,5K
97,6U
98,12G
99,11D
100,10W
101,7W
102,5P
103,9T
104,9L
105,9Z
106,4G
107,6T
108,9G
109,8V
110,3L
111,9J
112,11A
113,12Y
114,2W
115,1O
116,2G
117,7U
118,2W
119,5E
120,11S
121,4S
122,2S
123,8M
124,12H
125,4A
126,4L
127,12V
128,6L
129,7Z
130,2M
131,3X
132,11G
133,8V
134,3A
135,7V
136,11F
137,7M
138,11C
139,7G
140,7R
141,3J
142,5B
143,9W
144,7G
145,7K
146,1X
147,2V
148,1U
149,5X
150,4T
151,3S
152,10R
153,2N
154,8J
155,6A
156,1L
157,1X
158,12C
159,11O
160,7P
161,9E
162,7M
163,12Q
164,6Y
165,12R
166,7B
167,2O
168,12E
169,1N
170,11V
171,12Z
172,7F
173,9V
174,8N
175,4J
176,10H
177,10J
178,5Z
179,1S
180,12G
181,3Y
182,11F
183,5Z
184,10I
185,3J
186,4V
187,2U
188,12X
189,7C
190,12M
191,5J
192,1G
193,2W
194,6H
195,10X
196,11V
197,6G
198,9Y
199,8E
200,5A
201,3J
202,3L
203,4R
204,6Q
205,12P
206,6T
207,6R
208,11Q
209,11R
210,4I
211,5T
212,6Y
213,8V
214,2Z
215,8H
216,1V
217,9D
218,7B
219,4G
220,11U
221,8N
222,3M
223,1E
224,5F
225,7V
226,9R
227,9P
228,8R
229,8F
230,3V
231,11W
232,12V
233,9R
234,11U
235,1F
236,8R
237,7Z
238,9Y
239,9F
240,6S
241,11C
242,11U
243,7O
244,12H
245,2Y
246,5V
247,7N
248,8T
249,10B
250,10D
251,1I
252,11G
253,7D
254,6M
255,7M
256,9M
257,7Q
258,6D
259,11Z
260,3V
261,5V
262,7W
263,10E
264,4R
265,2F
266,2P
267,5M
268,5D
269,1G
270,5U
271,6X
272,5S
273,5R
274,1Z
275,12V
276,6E
277,8E
278,7D
279,7G
280,7C
281,9S
282,4H
283,5H
284,11F
285,1E
286,9M
287,4S
288,2X
289,11S
290,9Y
291,10F
292,7S
293,4W
294,7L
295,8F
296,12I
297,12T
298,10G
299,9B
300,8D
301,2Z
302,10T
303,3D
304,10J
305,3H
306,10S
307,6N
308,1J
309,5E
310,9E
311,7I
312,9H
313,10N
314,2D
315,11P
316,10O
317,1K
318,5S
319,7C
320,11M
321,5G
322,4A
323,1H
324,12O
325,12I
326,4X
327,11M
328,4F
329,12K
330,2B
331,5B
332,11K
333,10N
334,8S
335,10E
336,8C
337,9T
338,7G
339,6N
340,1T
341,2F
342,12V
343,3L
344,8C
345,2F
346,5Q
347,2W
348,10D
349,8G
350,12C
351,1I
352,6J
353,9G
354,8L
355,8Q
356,2D
357,11U
358,7G
359,10X
360,7E
361,6D
362,7C
363,10I
364,3S
365,3J
366,6P
367,5P
368,8P
369,7U
370,12V
371,6G
372,1D
373,7A
374,5I
375,1J
376,2E
377,8D
378,11Z
379,5K
380,3R
381,9Y
382,8B
383,6L
384,2I
385,2K
386,1I
387,6V
388,10C
389,4K
390,12I
391,10A
392,2J
393,6P
394,11G
395,1S
396,7V
397,8P
398,5E
399,2V
400,1D
401,8J
402,11U
403,2Q
404,1X
405,3B
406,12F
407,10N
408,10W
409,5R
410,12S
411,5F
412,6G
413,6F
414,6T
415,8V
416,4T
417,12I
418,1F
419,9E
420,3P
421,6K
422,11S
423,3Z
424,3C
425,3T
426,2D
427,4X
428,12E
429,9W
430,9U
431,6J
432,10B
433,12L
434,5R
435,7J
436,1X
437,6T
438,1F
439,6M
440,4S
441,10P
442,10T
443,8K
444,12K
445,1G
446,1Y
447,7A
448,6K
449,4Q
450,6F
451,6O
452,1W
453,11R
454,3T
455,4I
456,3C
457,3N
458,10D
459,12C
460,2M
461,2S
462,6D
463,4Y
464,1D
465,3C
466,6V
467,5H
468,7N
469,4B
470,4N
471,3G
472,4O
473,8L
474,1R
475,1E
476,1S
477,9L
478,6U
479,3R
480,12U
481,11J
482,4Y
483,3X
484,3A
485,1U
486,5F
487,5G
488,2P
489,8H
490,2X
491,8H
492,10X
493,10W
494,1P
495,8W
496,5A
497,8E
498,4F
499,6O
500,6X
501,1B
502,6W
503,2D
504,2S
505,8Z
506,3C
507,4Z
508,11T
509,2A
510,3O
511,6Q
512,3E
513,7S
514,12D
515,9H
516,5Y
517,10B
518,11Q
519,8G
520,10Q
521,10D
522,3V
523,7S
524,10T
525,4Z
526,6X
527,10L
528,5T
529,11N
530,6A
531,8V
532,10W
533,3F
534,5I
535,12G
536,12L
537,7F
538,4J
539,3J
540,7E
541,11D
542,7W
543,7U
544,1J
545,12Q
546,6W
547,4J
548,5Q
549,2Q
550,2R
551,9O
552,10P
553,2T
554,4V
555,3V
556,3M
557,12B
558,7Y
559,1X
560,6W
561,5Z
562,2B
563,10A
564,10D
565,4I
566,3N
567,5B
568,8G
569,9Q
570,5I
571,8M
572,1H
573,1R
574,11J
575,12P
576,5X
577,8K
578,9M
579,9H
580,9O
581,6J
582,12D
583,11I
584,6I
585,2Q
586,5E
587,4E
588,5P
589,2F
590,7D
591,9B
592,5G
593,8D
594,7W
595,3E
596,1K
597,2X
598,10A
599,10L
600,7X
601,8F
602,4G
603,12Q
604,12L
605,3N
606,7Y
607,5N
608,4O
609,4U
610,1G
611,1U
612,1Y
613,7N
614,2Q
